Location,Address,Location type,"Lat, Long"
DeVry University,"3505 Koger Blvd #100, Duluth, GA 30096",College Campus-Potential,"33.9602841496697, -84.1244499883213"
Georgia Gwinnett College,1000 University Center Ln,College Campus-Potential,"33.98136, -84.00013"
Gwinnett College - Lilburn Campus,"4230 US-29 #11, Lilburn, GA 30047",College Campus-Potential,"33.9158499212691, -84.1203301156637"
Gwinnett Technical College,"5150 Sugarloaf Pkwy, Lawrenceville, GA 30043",College Campus-Potential,"33.9745209816315, -84.0688317025115"
UGA Gwinnett Campus,"2530 Sever Rd NW, Lawrenceville, GA 30043",College Campus-Potential,"34.0103872256131, -84.0729515755636"
Atlantic Communication Services Inc,"6050 McDonough Dr NW # 1, Norcross, GA 30093",Community Center - Potential,"33.92427143131524, -84.20691032785918"
Bethesda Senior Center,"225 Bethesda Church Rd, Lawrenceville, GA 30044",Community Center - Potential,"33.913330363563, -84.0900098908051"
Brand New ATL,"30097 Georgia, Duluth, Duluth Hwy",Community Center - Potential,"34.010264892281334, -84.09722550268569"
Buford community center,"2200 Buford Hwy NE, Buford, GA 30518",Community Center - Potential,"34.1289777634762, -83.9961067984953"
Centerville Community Center,"3025 Bethany Church Rd, Snellville, GA 30039",Community Center - Potential,"33.82833145395067, -84.0418295628437"
Centro Comunitario,"1355 Graves Rd, Norcross, GA 30093",Community Center - Potential,"33.90654275657426, -84.21953415106623"
Chattahoochee Run Community Clubhouse & Amenities Center,"1580 Chattahoochee Run Dr, Suwanee, GA 30024",Community Center - Potential,"34.07171473478271, -84.10271866637446"
Duluth City Parks & Recreation,"3180 Bunten Rd, Duluth, GA 30096",Community Center - Potential,"33.99947330598432, -84.1199812248412"
E Center,"5019 W Broad St NE, Sugar Hill, GA 30518",Community Center - Potential,"34.1188454491937, -84.0336851381008"
Esan Community of Georgia,"3190 Spain Rd, Snellville, GA 30039",Community Center - Potential,"33.818650849590675, -84.07387465252319"
Four Winds Community Center,"277 W Wind Dr SW, Lilburn, GA 30047",Community Center - Potential,"33.88558593185639, -84.14767546511834"
Harbins Community Building,"2749 Brooks Rd SE, Dacula, GA 30019",Community Center - Potential,"33.964717796407434, -83.85827288222517"
Highway 78 Community Imprvmnt,"2463 Heritage Village # 106, Snellville, GA 30078",Community Center - Potential,"33.87349311362567, -84.01949510640044"
King David Community Center of Atlanta Inc,"5054 Singleton Rd, Norcross, GA 30093",Community Center - Potential,"33.92185410195284, -84.16321247829626"
Lilburn Activity Building,"788 Hillcrest Rd NW, Lilburn, GA 30047",Community Center - Potential,"33.9137532173731, -84.1451431542789"
Norcross Cultural Arts & Community Center,"10 College St NW, Norcross, GA 30071",Community Center - Potential,"33.97041251824892, -84.20159561277191"
Revolution Teen Center,"585 Old Norcross Rd Suite K, Lawrenceville, GA 30046",Community Center - Potential,"33.98521701035254, -84.0107081745879"
Sugar Hill Community Center,"1166 Church St, Sugar Hill, GA 30518",Community Center - Potential,"34.12288891384904, -84.04641373856478"
Gwinnett County Fairgrounds,2405 Sugarloaf Pkwy,EV_2020,"33.91845, -83.988"
Gas South-Hudgens Center for Arts,6400 Sugarloaf Parkway Building 300,EV_2022,"33.99165, -84.09391"
Pinckneyville Park Community Recreation Center,4650 Peachtree Industrial Boulevard,EV_2022,"33.97062, -84.18529"
Rhodes Jordan Park Community Recreation Center,100 East Crogan Street,EV_2022,"33.95615, -83.98751"
Bogan Park Community Recreation Center,2723 North Bogan Road,EV_2022_2020,"34.10593, -83.9682"
Dacula Park Activity Building,2735 Old Auburn Avenue,EV_2022_2020,"33.9961, -83.89283"
George Pierce Park Community Recreation Center,55 Buford Highway,EV_2022_2020,"34.05925, -84.05714"
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,455 Grayson Highway Suite 200,EV_2022_2020,"33.93928, -83.98557"
Lenora Park Gym,4515 Lenora Church Road,EV_2022_2020,"33.78823, -84.00129"
Lucky Shoals Park Community Recreation Center,4651 Britt Road,EV_2022_2020,"33.88058, -84.19716"
Mountain Park Activity Building,1063 Rockbridge Road,EV_2022_2020,"33.84508, -84.13328"
Shorty Howell Park Activity Building,2750 Pleasant Hill Road,EV_2022_2020,"33.97391, -84.14712"
Gwinnett County Public Library - Buford - Sugar Hill Branch,"2100 Buford Hwy NE, Buford, GA 30518",Library - Potential,"34.12105397468167, -84.00025006555612"
Gwinnett County Public Library - Centerville Branch,"3025 Bethany Church Rd, Snellville, GA 30039",Library - Potential,"33.82665925449587, -84.05243512059921"
Gwinnett County Public Library - Dacula Branch,"265 Dacula Rd, Dacula, GA 30019",Library - Potential,"34.11650631318878, -83.99750348371174"
Gwinnett County Public Library - Duluth Branch,"3180 Main St, Duluth, GA 30096",Library - Potential,"34.011363153173036, -84.14621262567157"
Gwinnett County Public Library - Five Forks Branch,"2780 Five Forks Trickum Rd SW, Lawrenceville, GA 30044",Library - Potential,"33.9030605457372, -84.05586834790468"
Gwinnett County Public Library - Grayson Branch,"700 Grayson Pkwy, Grayson, GA 30017",Library - Potential,"33.9030605457372, -83.96591779250143"
Gwinnett County Public Library - Hamilton Mill Branch,"3690 Braselton Hwy, Dacula, GA 30019",Library - Potential,"34.082391058030495, -83.90617963738632"
Gwinnett County Public Library - Lawrenceville Branch,"1001 Lawrenceville Hwy, Lawrenceville, GA 30046",Library - Potential,"33.95556531833665, -84.01918321536927"
Gwinnett County Public Library - Lawrenceville2,"455 Camp Perrin Rd NE, Lawrenceville, GA 30043",Library - Potential,"34.026070830531836, -84.00162335647829"
Gwinnett County Public Library - Lilburn Branch,"4817 Church St NW, Lilburn, GA 30047",Library - Potential,"33.90066453185414, -84.14034298979277"
Gwinnett County Public Library - Lilburn2,"1210 Pounds Rd SW, Lilburn, GA 30047",Library - Potential,"33.861537278231594, -84.12904648914423"
Gwinnett County Public Library - Norcross Branch,"5735 Buford Hwy, Norcross, GA 30071",Library - Potential,"33.953287077751504, -84.20801071716997"
Gwinnett County Public Library - Peachtree Corners Branch,"5570 Spalding Dr, Peachtree Corners, GA 30092",Library - Potential,"33.982809720657876, -84.22615642225587"
Gwinnett County Public Library - Snellville Branch,"2740 Lenora Church Rd, Snellville, GA 30078",Library - Potential,"33.85868632485119, -84.01712327898599"
Gwinnett County Public Library - Suwanee Branch,"361 Main St, Suwanee, GA 30024",Library - Potential,"34.066465899877706, -84.07028790258764"
Aurora Theater,128 E Pike St,Other - Potential,"33.95711, -83.98723"
Gwinnett Place Mall,2100 Pleasant Hill Rd,Other - Potential,"33.9606, -84.12586"
Infinite Energy Arena,6400 Sugarloaf Pkwy,Other - Potential,"33.9874, -84.09295"
Gwinnett County fire station - Potential 17,"2739 Brooks Rd SE, Dacula, GA 30019",Fire Station - Potential,"33.958247086851, -83.8607553361306"
Gwinnett County fire station - Potential 18,"1515 Mineral Springs Rd, Hoschton, GA 30548",Fire Station - Potential,"34.0726464784013, -83.8758615374068"
Gwinnett County fire station - Potential 27,"Old Fountain Rd, Dacula, GA 30019",Fire Station - Potential,"34.0464791282894, -83.9150003314026"
Gwinnett County fire station - Potential 29,"2800 Thompson Mill Rd, Buford, GA 30519",Fire Station - Potential,"34.1124508538786, -83.886847865546"
Gwinnett County fire station - Potential 30,"1120 Ozora Rd, Loganville, GA 30052",Fire Station - Potential,"33.901274571982, -83.8950876115655"
